year,month,passengers
2020,January,118
2020,February,132
2020,March,144
2020,April,183
2020,May,128
2020,June,133
2020,July,125
2020,August,103
2020,September,123
2020,October,94
2020,November,108
2020,December,122
2021,January,126
2021,February,156
2021,March,165
2021,April,164
2021,May,163
2021,June,172
2021,July,141
2021,August,142
2021,September,147
2021,October,156
2021,November,147
2021,December,136
2022,January,172
2022,February,186
2022,March,178
2022,April,188
2022,May,189
2022,June,179
2022,July,204
2022,August,155
2022,September,151
2022,October,181
2022,November,175
2022,December,181
2023,January,210
2023,February,204
2023,March,207
2023,April,214
2023,May,229
2023,June,199
2023,July,182
2023,August,193
2023,September,210
2023,October,166
2023,November,222
2023,December,206
2024,January,203
2024,February,227
2024,March,241
2024,April,240
2024,May,224
2024,June,245
2024,July,249
2024,August,231
2024,September,227
2024,October,230
2024,November,244
2024,December,240
2025,January,249
2025,February,271
2025,March,272
2025,April,260
2025,May,277
2025,June,264
2025,July,270
2025,August,261
2025,September,253
2025,October,272
2025,November,265
2025,December,284
2026,January,279
2026,February,304
2026,March,311
2026,April,300
2026,May,307
2026,June,294
2026,July,302
2026,August,290
2026,September,297
2026,October,285
2026,November,308
2026,December,314
2027,January,312
2027,February,340
2027,March,344
2027,April,335
2027,May,341
2027,June,327
2027,July,336
2027,August,322
2027,September,328
2027,October,319
2027,November,342
2027,December,347
2028,January,344
2028,February,372
2028,March,375
2028,April,366
2028,May,374
2028,June,358
2028,July,369
2028,August,355
2028,September,359
2028,October,350
2028,November,373
2028,December,379
2029,January,376
2029,February,404
2029,March,407
2029,April,397
2029,May,406
2029,June,390
2029,July,401
2029,August,387
2029,September,391
2029,October,382
2029,November,405
2029,December,411
2030,January,408
2030,February,436
2030,March,439
2030,April,429
2030,May,438
2030,June,422
2030,July,433
2030,August,419
2030,September,423
2030,October,414
2030,November,437
2030,December,443
2031,January,440
2031,February,468
2031,March,471
2031,April,461
2031,May,470
2031,June,454
2031,July,465
2031,August,451
2031,September,455
2031,October,446
2031,November,469
2031,December,475
2032,January,472
2032,February,500
2032,March,503
2032,April,493
2032,May,502
2032,June,486
2032,July,497
2032,August,483
2032,September,487
2032,October,478
2032,November,501
2032,December,507
2033,January,504
2033,February,532
2033,March,535
2033,April,525
2033,May,534
2033,June,518
2033,July,529
2033,August,515
2033,September,519
2033,October,510
2033,November,533
2033,December,539
2034,January,536
2034,February,564
2034,March,567
2034,April,557
2034,May,566
2034,June,550
2034,July,561
2034,August,547
2034,September,551
2034,October,542
2034,November,472
2034,December,498
2035,January,495
2035,February,529
2035,March,539
2035,April,547
2035,May,552
2035,June,513
2035,July,519
2035,August,502
2035,September,510
2035,October,489
2035,November,512
2035,December,522
2036,January,532
2036,February,553
2036,March,574
2036,April,575
2036,May,577
2036,June,547
2036,July,547
2036,August,552
2036,September,550
2036,October,533
2036,November,556
2036,December,548
2037,January,557
2037,February,590
2037,March,577
2037,April,561
2037,May,583
2037,June,574
2037,July,558
2037,August,542
2037,September,541
2037,October,548
2037,November,547
2037,December,571
